shipmentid,orderid,shipmentdate,estimateddeliverydate,actualdeliverydate,carrier,trackingnumber
765,1080,2023-12-17,2020-02-19,,USPS,0b302b60-cfa6-4274-acb3-0ee8bfeb5fa9
766,2064,2023-07-13,2020-05-11,2023-08-29,Local Courier,
767,1418,2023-08-12,2021-05-29,2023-09-23,USPS,67fbde28-baf5-4b05-b790-23dfa85c5aae
768,31,2022-04-10,2022-09-16,2021-03-16,FedEx,
769,532,2021-05-08,2020-07-29,2020-02-19,UPS,54d29c9b-d560-40f3-8171-3c0292dd7b9e
770,203,2022-12-31,2020-01-10,2022-12-04,FedEx,80c4d0b5-0226-414d-83ed-b4bc863aa564
771,1036,2020-11-29,2020-07-18,2020-09-22,DHL,9d1ec313-1847-4b05-9ddf-b06b2532599e
772,1513,2020-11-27,2022-10-03,2023-01-30,FedEx,
773,218,2020-04-20,2020-05-27,2022-09-15,Local Courier,d6ae0f93-9c08-483b-94ac-4e9a2296c70d
774,2003,2023-08-25,2021-04-09,2023-11-19,FedEx,
775,722,2023-01-28,2023-03-05,2023-12-24,FedEx,49912e82-b6b2-40cd-8293-1ab3f576bb1f
776,1673,2023-03-28,2023-11-18,,DHL,f1593621-332c-441f-9ce7-cbe271ee4587
777,711,2023-03-24,2022-03-07,2021-03-28,Local Courier,25a19f9f-2e5b-4f38-84bc-0cb7b844bf97
778,2420,2021-11-26,2022-08-15,2022-05-10,FedEx,6d19d2d1-8c24-48f2-a32e-47c3be5c40b5
779,511,2021-07-20,2022-02-08,,Local Courier,
780,27,2022-06-26,2021-12-12,,DHL,
781,1146,2022-12-27,2023-04-21,2020-01-07,Local Courier,
782,90,2022-09-05,2022-10-24,2023-03-04,UPS,
783,836,2023-04-04,2021-02-27,,USPS,
784,2522,2023-02-11,2023-02-06,,FedEx,
785,53,2020-04-05,2023-12-22,2023-09-29,FedEx,766699a9-7919-4c70-86dd-a2739701ccb6
786,1750,2023-02-05,2022-07-28,2020-09-27,Local Courier,dcdc42bb-8ace-4c94-bc7b-a73cd55c36f6
787,1595,2021-03-01,2022-04-03,2021-09-10,Local Courier,
788,3007,2023-06-14,2020-06-21,,DHL,
789,2140,2021-11-30,2020-04-21,,UPS,
790,3098,2020-10-26,2021-12-02,2023-02-21,USPS,f24f74b7-f086-4dba-a4c0-77e727f09ec5
791,273,2021-04-15,2023-12-18,,FedEx,
792,3076,2022-11-03,2020-12-05,2020-07-03,UPS,
793,1465,2020-04-15,2021-08-20,,DHL,0f72f43a-4e68-4973-a584-64d07be1ccd7
794,3088,2022-05-11,2020-10-24,2021-12-29,UPS,c4d7d456-fa8d-4448-b94d-89e8a9e5ee8d
795,230,2021-07-24,2021-01-25,2022-02-08,Local Courier,150c5a63-b38c-4834-a3e9-c4d0b39e0dd8
796,2235,2022-11-29,2022-05-18,,USPS,
797,2020,2020-06-05,2021-04-30,2021-12-15,USPS,61cc55d4-64bb-43d2-9a5a-a66ff3f626e8
798,2884,2021-02-05,2022-02-07,,FedEx,
799,1071,2022-12-14,2021-12-05,,USPS,
800,182,2021-07-05,2021-10-03,2021-02-27,UPS,38eb3446-d5e9-42a7-a573-4acae59b9145
801,353,2022-01-28,2022-09-20,,FedEx,
802,459,2022-07-18,2022-04-19,2022-11-11,FedEx,ba2a8780-30b3-493c-aecc-1ba4946f1859
803,1599,2020-09-26,2021-12-09,2022-07-23,USPS,1f9f6f35-7393-42d9-b38c-772c6d8691f5
804,2711,2022-01-14,2020-07-09,,UPS,
805,2718,2023-05-27,2023-03-02,2021-05-13,FedEx,d4c8d232-f3c9-4977-a580-ddda72b93aca
806,2094,2022-06-13,2021-06-16,,UPS,aa016ff9-a81c-4433-8ef9-a8745529eb1b
807,858,2021-04-17,2022-08-24,,USPS,0d1a2399-bbc8-478d-b124-d8745cce7d4a
808,104,2021-12-30,2020-12-23,,FedEx,69efa3e4-6156-491c-922b-003e5d276896
809,706,2021-12-29,2020-02-09,,DHL,
810,3066,2021-04-14,2020-05-25,2021-07-08,FedEx,
811,1090,2023-10-09,2020-05-25,2020-05-13,USPS,
812,2905,2023-02-18,2021-08-27,2020-05-07,FedEx,2dc67ef7-4913-4e36-93e0-0f863797b0bc
813,1839,2021-07-07,2023-02-10,,Local Courier,de4fcfb0-6510-4679-982b-310d087548bc
814,886,2022-10-20,2021-05-27,2021-02-04,FedEx,21edf34f-05d1-4a7d-b932-af32f175dbae
815,324,2023-08-29,2022-10-29,2023-03-19,DHL,ce341573-ab57-4919-b129-971e3c59c892
816,2733,2022-08-14,2021-11-17,,UPS,b5772321-36f2-4747-8055-161c0cf85964
817,3039,2020-10-28,2022-07-13,,DHL,
818,2649,2021-12-09,2020-01-24,2020-09-18,USPS,
819,166,2021-12-03,2021-06-28,,Local Courier,
820,507,2023-10-19,2020-11-02,,DHL,231d1c2a-6ee5-4d6e-8caf-f07f512dd943
821,915,2023-08-31,2020-03-17,2021-12-13,UPS,
822,2100,2021-07-08,2022-01-08,,UPS,
823,2077,2021-12-22,2023-02-24,,DHL,00af280a-1553-4b62-84e3-85fbc201a65a
824,2413,2022-11-26,2020-09-03,,Local Courier,
825,147,2023-09-22,2020-09-12,2023-10-16,USPS,6415eba3-10c4-42c2-9dbd-b8709e495c2e
826,1759,2021-06-30,2023-08-11,2021-09-05,UPS,62ca10da-5ad2-46ad-a5af-45909deccaf5
827,308,2023-09-29,2021-03-29,2023-09-27,USPS,
828,2668,2022-02-27,2023-05-05,,Local Courier,
829,2628,2023-06-30,2023-05-10,2021-10-01,Local Courier,aa6d76e6-acc4-4387-bf1c-a17d1bc36e12
830,2863,2022-07-08,2021-07-26,,Local Courier,e2d081db-9491-4a72-9afe-74b2b6867943
831,136,2021-02-22,2022-05-15,2022-04-14,UPS,1f2da3ac-aec2-4857-b3cc-ed043d071424
832,2470,2021-05-25,2022-02-19,2022-01-28,DHL,
833,799,2022-04-10,2021-04-03,2021-09-16,UPS,
834,872,2023-02-03,2022-03-10,2023-04-05,FedEx,
835,1551,2021-07-16,2023-05-13,,Local Courier,
836,1056,2020-01-31,2022-09-23,2020-09-15,USPS,
837,2828,2021-01-05,2023-10-19,,Local Courier,6e6e258c-746a-426e-b6a2-bf2ff4dfe5ce
838,1151,2023-12-15,2020-01-12,,DHL,
839,373,2023-01-04,2021-09-02,,DHL,
840,790,2023-04-28,2020-11-17,2021-12-24,Local Courier,8fb07647-1ae7-4e75-b54a-ee8ecfe85fca
841,1837,2022-03-21,2023-02-13,,DHL,
842,2990,2021-02-21,2023-04-17,,USPS,
843,307,2020-10-31,2023-08-10,,Local Courier,2727b1c5-43f0-40f6-a35b-f5cd97e960e1
844,348,2022-07-22,2023-07-29,,Local Courier,bc79eb0e-f2a1-440f-8da5-94f6af934a71
845,1732,2021-03-30,2021-12-03,,USPS,8fd5ad5c-24cd-4509-8374-af4b383ad918
846,848,2020-11-16,2022-03-27,2021-11-24,FedEx,df6093f7-fa67-4c27-b0dd-d98811dc2960
847,2673,2020-03-09,2023-03-07,2023-10-02,FedEx,
848,210,2022-07-16,2022-05-21,2022-08-20,FedEx,60e10704-880d-4bb2-a590-c7f5d834f53b
849,3080,2020-06-02,2023-08-31,,FedEx,3c07fcaf-7224-4d5a-9696-8620201d8511
850,2508,2023-05-22,2023-12-23,2020-07-01,DHL,6b9764e9-52fc-49ff-a6bc-cd7cd1503f7d
851,2768,2022-11-07,2023-03-16,,Local Courier,1fa296d0-4ef2-4c6e-ae25-e073ff09e8ea
852,583,2021-03-15,2021-09-28,2021-07-08,UPS,e074f05f-cd53-48f4-a5b6-8ccfa7c60832
853,3056,2021-12-03,2022-09-01,2021-02-25,USPS,
854,610,2020-03-07,2022-01-20,2021-11-28,USPS,
855,2666,2020-09-22,2021-02-03,2020-12-29,FedEx,d39b7278-7fa3-4792-b02d-3013c7f21a74
856,2426,2020-05-07,2022-07-27,2021-05-07,USPS,
857,46,2022-07-09,2020-10-28,2021-12-22,DHL,
858,607,2021-04-19,2021-01-31,,DHL,
859,2555,2021-02-27,2021-09-13,,UPS,f65466ce-31c2-4cd2-9cdf-0d39cb2c0106
860,2160,2021-12-29,2022-10-16,2023-12-05,Local Courier,c31b2420-3bd1-4034-b4e5-6b6c72ed771f
861,2269,2023-05-22,2022-12-17,2023-03-28,USPS,bd6b274e-2613-4094-8193-c8691667f70a
862,1969,2023-10-20,2022-04-21,,DHL,
863,2579,2023-08-06,2022-11-28,2021-02-17,USPS,
864,1870,2023-10-13,2020-05-12,2022-07-29,USPS,6083fa98-db17-4717-8023-afc5e59790e8
865,2769,2020-01-24,2021-10-19,2020-07-28,UPS,
866,1247,2022-06-29,2023-03-31,,Local Courier,c7f169c0-aa2b-4585-abcb-39cd2ed1ddaa
868,1511,2022-01-22,2021-02-09,2021-04-25,DHL,10ed16cd-adad-461e-b74a-65f013180311
869,2787,2023-08-13,2021-12-19,2022-08-09,DHL,
870,378,2021-05-09,2021-09-30,2022-07-28,USPS,
871,290,2021-11-15,2021-04-18,2023-05-16,UPS,
872,3,2021-05-02,2020-07-21,2020-04-27,DHL,
873,816,2023-01-07,2021-04-23,2022-05-30,FedEx,43cb76d7-f48a-4983-8840-3bb702c26aff
874,2056,2021-12-28,2022-07-16,,USPS,7b7759ec-f79c-447f-ba02-b7df452761fc
875,1417,2023-02-25,2020-11-29,,FedEx,2f919d07-fb76-4f0c-b91a-640eb64041e9
876,1854,2023-06-11,2023-03-26,,FedEx,d29e5dc2-ec7b-47f6-bceb-3f7a05c0e625
877,1262,2021-06-28,2021-10-10,,UPS,72183751-02bf-4f82-b313-06ce66df91f3
878,249,2020-07-31,2020-05-27,2022-05-29,Local Courier,
879,1334,2023-02-22,2020-11-23,,UPS,d0aeb466-666e-4af5-9d65-d683278dc9bc
880,1260,2020-11-29,2021-08-12,,Local Courier,
881,1982,2020-11-27,2023-09-25,2021-12-29,FedEx,e9524c8e-6831-4fde-91a3-602466eab717
882,1637,2022-09-24,2020-03-30,2022-10-13,Local Courier,14c163ea-06a9-4bbc-9922-4c6441157aa0
883,1408,2021-01-27,2020-12-04,2022-08-26,DHL,
884,898,2023-12-05,2020-02-04,,Local Courier,
885,164,2021-12-13,2022-01-05,2023-09-17,UPS,
886,1178,2022-07-10,2022-03-14,2021-02-12,DHL,
887,2020,2023-05-18,2020-07-16,,DHL,24363638-a7e7-430f-b82e-c31145a35545
888,301,2020-12-03,2020-10-13,,USPS,842e2cf4-6fdc-4fa3-93af-57ec5ea508c2
889,1904,2020-05-07,2023-05-14,2021-04-23,UPS,2552ba26-c883-47e5-834a-4fc5fe19f2f2
890,1586,2023-06-29,2022-11-28,2023-09-05,FedEx,f59ff84a-193c-4b33-a776-f247f0638634
891,145,2023-06-03,2022-01-18,2022-05-02,Local Courier,869aaed3-9339-4423-bd8e-d38bc5dd4476
892,1685,2022-12-30,2022-12-20,,DHL,154f6d82-dde6-4923-abd3-58820364bf14
893,2489,2021-02-13,2023-01-19,,UPS,
894,2570,2023-04-01,2023-05-24,,DHL,d114d5eb-db4b-465d-b3ae-588cf6cefeac
895,226,2020-09-13,2023-08-17,2022-07-20,DHL,
896,449,2022-11-26,2023-07-02,2023-12-23,USPS,698c48db-b82e-4bfe-8d90-fdb71ddd417a
897,2797,2021-09-29,2020-06-25,2023-06-07,FedEx,21550ac2-da01-4bcf-86ed-d8af5456303e
898,1648,2020-07-20,2021-08-31,2023-10-20,USPS,802e47f5-20c8-460a-8672-477795dd74b6
899,2349,2022-03-20,2022-11-01,,Local Courier,8641ebce-293f-4ef3-841d-112bde02430d
900,1900,2021-05-12,2020-03-08,,USPS,61086187-4c2e-414c-a0ce-2500b16073a2
901,1656,2022-11-01,2021-08-11,2022-12-19,UPS,
902,761,2023-10-28,2023-11-08,2021-01-30,FedEx,be0834c2-0cfe-4ed3-aa9b-3fdbcf8d246b
903,9,2021-01-12,2023-10-24,,Local Courier,3acaed22-ec0e-4d49-b7e4-86f7f3230edd
904,1006,2022-05-29,2023-06-29,,DHL,2a7c36f2-0f22-412a-a2af-c0e19804bd04
905,1959,2023-07-02,2023-07-25,2020-06-24,UPS,997b9d82-fee0-4ef6-9177-9c87db956fde
906,2222,2023-02-24,2023-12-05,2020-08-07,Local Courier,
907,1529,2023-07-18,2022-11-02,2020-11-07,UPS,
908,3051,2022-07-18,2022-03-24,2023-01-11,DHL,
909,1199,2021-07-04,2021-08-29,2023-04-30,DHL,3df9b716-cade-45db-8312-fcf5a7523ace
910,2671,2023-06-17,2022-10-06,,USPS,
911,694,2021-08-23,2022-07-06,,USPS,f7ed238d-879b-45a8-a98a-18f593f4e170
912,43,2022-07-24,2023-03-08,,Local Courier,d5c5291e-4710-4d42-bbef-08fb26a454c3
913,113,2022-05-06,2021-02-26,,FedEx,
914,1552,2020-09-27,2020-10-16,2021-03-11,USPS,
915,106,2023-03-12,2020-10-02,2021-06-23,Local Courier,
916,293,2021-09-22,2021-11-26,,USPS,02b7c6a7-2508-4bba-a7d8-b9fcb276fa0e
917,824,2021-05-19,2023-01-07,,Local Courier,3154c0c7-093e-4bfc-8ce7-56932fdd5313
918,160,2020-01-25,2020-11-23,2020-11-14,DHL,
919,2534,2022-02-05,2020-03-21,2023-04-14,DHL,8e627ba3-4f46-4a9c-b288-03fa81237d60
920,2467,2020-09-24,2021-11-05,,DHL,
921,371,2022-06-26,2022-04-25,2020-02-04,Local Courier,
922,1682,2023-11-22,2023-11-20,,FedEx,6b523a86-b885-4c0c-867d-3b6779a89a6b
923,2327,2022-03-15,2022-06-17,2021-12-05,FedEx,8248002f-c257-4ade-883a-9c187cc0f2e7
924,1097,2023-09-01,2020-10-21,2023-05-18,UPS,79448337-455e-4876-943b-da505cbc943f
925,1333,2021-08-31,2022-10-08,2021-10-07,USPS,41121aaf-8d06-41d0-930e-edc0a474ff86
926,836,2020-01-14,2021-10-13,2020-09-16,USPS,4accabbd-d1b7-4a72-bfd3-f5e1e1ef8d01
927,1684,2020-03-21,2022-08-08,,FedEx,a27eb0ed-4ca8-46e6-b344-6021ccf6019e
928,181,2022-12-25,2021-08-31,2021-09-12,DHL,
929,1651,2023-04-07,2021-04-12,,UPS,
930,183,2020-08-22,2022-04-30,,DHL,
931,463,2022-10-19,2023-03-12,,USPS,6d64ae97-25c7-48d1-a629-d243cecae04e
932,2445,2022-12-21,2020-01-25,2023-11-12,UPS,
933,1487,2022-06-24,2022-09-24,,Local Courier,
934,1275,2020-09-27,2023-06-05,2023-05-03,Local Courier,
935,1790,2021-11-23,2020-01-27,,DHL,
936,145,2021-03-08,2020-08-03,2023-04-13,FedEx,97ce0a73-aaa7-468b-9127-b9d1ca41a319
937,881,2022-06-09,2023-08-28,2020-12-11,DHL,62e168bf-5c43-4a4b-821a-b77c7e1bd229
938,2275,2021-10-24,2023-07-28,,USPS,
939,495,2021-03-11,2020-08-04,,UPS,22d1a7a1-5aa2-4661-985b-05264ef83b50
940,339,2020-04-03,2023-09-26,,Local Courier,57e4518a-0e4e-43a5-87fc-43ae87f56290
941,2958,2023-12-05,2022-09-24,,DHL,a51cdfd0-773d-430e-81cf-1cfcd9c8d54b
942,799,2021-02-20,2023-04-23,,USPS,b9fbada9-0dfe-4742-82d4-5a298e4e2245
943,2599,2023-10-05,2021-01-20,,DHL,d2704791-7c15-45dc-93f9-f207e9c77b83
944,1664,2021-10-19,2021-11-28,2022-04-19,DHL,1fcb11f9-81a6-4d55-891c-409b814eec86
945,2914,2020-08-14,2021-06-14,2022-12-20,Local Courier,
946,828,2022-09-29,2022-03-23,,USPS,
947,519,2020-02-06,2022-06-19,2023-01-16,UPS,06903878-f6d5-4219-aea7-d15a5ab63708
948,2688,2021-02-16,2022-11-19,2021-08-21,Local Courier,88118f4b-2a0f-4b81-9fb4-9054b78b181c
949,1078,2022-01-02,2023-09-21,2021-11-11,FedEx,fbf751ab-8151-4d9c-824d-52dc7be690bc
950,1492,2020-08-03,2022-06-21,2022-06-30,Local Courier,937e24c9-47d5-4f68-aa83-620d2f33e611
951,2632,2021-03-26,2020-02-12,2023-09-11,Local Courier,
952,790,2020-06-27,2023-06-18,2023-01-05,DHL,596d4b41-7da0-442d-819e-87a007c319e6
953,2385,2021-10-01,2022-10-16,2021-04-13,Local Courier,
954,605,2022-02-20,2023-03-31,2022-02-19,UPS,ae5a011a-aa06-47b4-a1bc-b2698dd8c4fe
955,2755,2022-05-28,2021-12-03,,FedEx,
956,1330,2021-09-21,2022-07-20,2020-01-22,Local Courier,
957,868,2021-04-20,2020-03-30,2022-02-27,Local Courier,
958,2473,2020-07-13,2022-11-26,2020-05-18,UPS,0f97ef90-1594-4838-9175-337db95a06aa
959,2010,2021-08-27,2020-09-18,,DHL,
960,159,2020-05-18,2023-08-20,,UPS,155907da-fe96-4afb-9bb4-19c18ec44834
961,1233,2020-06-25,2021-12-01,2020-05-18,DHL,
962,1986,2020-09-07,2021-10-26,2022-12-09,FedEx,
963,544,2021-07-02,2022-11-23,,DHL,
964,663,2023-09-18,2020-04-18,2021-05-02,FedEx,
965,2698,2022-07-26,2023-05-13,2021-04-07,DHL,edc15c40-513c-41f6-9050-83766bfb21da
966,2401,2022-01-20,2022-01-04,,UPS,
967,231,2023-11-13,2022-06-29,2023-12-23,Local Courier,6a76830a-e120-4b9d-aaac-505ff38be79e
968,1422,2021-03-08,2020-05-19,2020-07-23,FedEx,
969,1650,2022-11-13,2020-03-01,2023-01-11,DHL,10b6a2e1-425f-434f-8967-5eddc9d117a1
970,1483,2022-10-08,2023-10-14,,DHL,cbac5366-de21-4025-9a96-35f2e696acb5
971,1270,2023-06-21,2022-11-22,,UPS,38378565-ee60-44ef-9336-776116f8834e
972,1280,2023-06-26,2021-05-29,,FedEx,
973,1266,2022-10-22,2021-10-29,2022-11-06,USPS,7c888643-f6d6-42be-b904-50928c35de95
974,1859,2020-05-04,2021-07-18,,Local Courier,565e51e0-f6a7-43ef-acdf-b2fa08b379bc
975,840,2021-11-24,2020-11-30,,DHL,1fb1c16e-4d88-4647-88ee-7421c0f560ef
976,948,2022-02-28,2022-07-26,2021-07-13,DHL,ccf73443-107b-42fa-8ace-ddc9b26ef19a
977,790,2020-10-21,2020-06-07,2020-03-24,FedEx,20341bbd-37c3-4d76-909e-0e2555d0f9e8
978,1327,2020-08-10,2023-03-23,,FedEx,
979,3034,2021-05-29,2020-01-21,2022-12-21,USPS,1664ea3e-3f0f-45d7-a127-799d72f3b4dc
980,2383,2020-06-09,2022-10-11,2022-06-09,DHL,
981,2492,2023-10-16,2021-09-04,2022-05-18,DHL,
982,1070,2020-01-27,2021-01-23,2021-04-07,USPS,
983,1445,2020-09-13,2021-10-03,2021-07-25,Local Courier,
984,2191,2023-05-05,2021-02-23,2021-07-09,USPS,5b477699-d83c-4dc5-bbf8-69d7e682ce56
985,603,2022-03-23,2023-04-20,2021-04-19,USPS,383e65c5-27db-4d0a-a0ef-58e9614d4505
986,1885,2020-06-14,2023-11-18,2020-10-03,DHL,
987,1989,2021-09-02,2022-09-25,2023-09-02,USPS,8c1eccf6-da8b-4344-937e-1f0e9b4500d0
988,1146,2021-08-09,2021-11-18,2021-07-06,UPS,
989,1215,2021-12-13,2021-08-17,,DHL,
990,2779,2020-06-22,2022-06-30,,FedEx,
991,764,2020-09-09,2022-04-15,2023-01-12,FedEx,
992,2678,2022-07-27,2021-12-15,2020-12-17,UPS,c092389b-e7de-4273-87a1-f530d9dbedee
993,484,2020-02-29,2023-09-05,,DHL,
994,1095,2022-05-07,2022-03-16,,UPS,9c6fc7a2-ba87-46d7-8fb4-dcf7048d302c
995,1464,2020-01-30,2022-02-02,2023-08-03,DHL,6c804e34-60d2-4d7d-98e7-0374073cd848
996,402,2022-09-16,2020-02-18,,UPS,
997,478,2020-02-25,2021-12-22,2022-11-13,DHL,c4d9cc59-54a4-4d3a-b2d9-b4329aa465d7
998,682,2020-03-13,2020-02-06,2023-11-20,USPS,
999,150,2023-03-18,2023-09-13,,DHL,fa1aa4c2-6930-4ec1-8fc8-1e4c100e3870
1000,355,2023-10-13,2023-07-23,2021-02-02,DHL,193d50bd-8ced-42ba-a5a1-612087beff99
1001,2235,2023-10-06,2020-07-07,,UPS,9abbf48c-3abc-4aee-92e5-9a128110dae0
1002,2975,2021-10-02,2020-03-21,2021-07-20,DHL,
1003,658,2021-08-23,2020-05-31,,FedEx,
1004,256,2020-01-24,2021-08-27,,DHL,e7a8b01a-fa17-461e-854b-02eea2674426
1005,3098,2021-10-18,2021-10-04,,Local Courier,32ceab6d-477c-417b-910b-5aabbffcff5b
1006,2057,2021-06-02,2021-03-26,,DHL,
1007,544,2023-03-16,2022-11-20,2020-06-21,USPS,
1008,2437,2022-07-13,2021-10-30,2023-02-12,FedEx,
1009,539,2020-11-23,2023-01-30,,FedEx,85f98407-d7bc-445e-8d7f-78a86b1a8f05
1010,140,2022-04-28,2021-11-21,2020-11-22,USPS,
1011,291,2022-05-14,2023-04-15,2020-12-19,UPS,a74a7d8d-19dd-48c6-94c9-46aa400fd586
1012,1482,2020-01-24,2020-11-16,,USPS,a44233ed-1b97-4f98-80f1-e2718b14e4fb
1013,89,2022-06-06,2023-03-30,2023-05-30,FedEx,edf73a62-ede0-44ff-9012-aa509c45dd18
1014,2012,2021-10-28,2022-04-17,2022-12-05,UPS,
1015,2777,2020-05-13,2021-10-03,,FedEx,42c7c7b8-572f-4da6-ae42-cfd39554c7ab
1016,2596,2021-09-12,2023-11-04,,USPS,
1017,2229,2021-09-06,2021-01-26,2023-04-18,Local Courier,2510eb81-ae67-4651-b7b8-560977041eb7
1018,436,2021-09-13,2022-02-19,,FedEx,c29a852b-97bb-4f74-83b5-c06961f7e6d3
1019,1707,2020-10-14,2021-07-22,2023-01-09,USPS,2c5e70ef-756d-419e-9ae0-c102e2a5c786
1020,145,2023-08-19,2020-08-22,2021-08-03,Local Courier,148b70f1-0e78-44c0-ad89-6e168f106bdf
1021,41,2020-06-05,2023-04-14,2020-06-25,FedEx,0167573a-3341-44ec-921a-848cca70cea1
1022,1628,2021-02-20,2020-08-15,2020-04-07,USPS,
1023,2881,2021-11-05,2020-04-07,2021-08-09,DHL,d362b656-15df-467c-9c0c-4a280965d679
1024,2661,2021-09-04,2021-05-24,,Local Courier,20e92968-a975-4404-888a-d22f515cc626
1025,226,2021-02-02,2021-03-17,2023-07-26,USPS,
1026,1849,2022-03-23,2021-05-14,2022-11-16,FedEx,a3a65700-7e15-4efc-9f33-08c44d92cb67
1027,257,2022-04-20,2021-06-30,,UPS,
1028,1998,2022-09-20,2022-09-22,,USPS,
1029,2713,2022-02-22,2022-01-10,,DHL,607cf4e3-afe3-462a-b2df-f6bb8d23a895
1030,1597,2023-03-31,2020-06-19,2022-11-22,DHL,896e99eb-10d4-4d7e-b8f9-122fec87773a
1031,97,2023-01-23,2020-10-17,2022-07-24,FedEx,acf7d1d9-c404-4b27-89ea-ba44acdfca01
1032,1667,2023-07-17,2022-04-16,,USPS,e4bf328a-4663-4f2b-bfce-c2ebec230e3b
1033,1141,2020-11-23,2021-03-26,2022-02-19,FedEx,
1034,225,2021-04-20,2023-12-20,,UPS,6823e3af-497f-4b94-8585-b138d4cd3c36
1035,933,2020-05-25,2023-01-25,2021-04-21,DHL,
1036,52,2020-06-27,2021-12-18,2023-12-10,DHL,
1037,279,2022-11-09,2021-10-09,,FedEx,
1038,2284,2022-05-20,2021-02-15,2021-08-27,FedEx,c7baffc8-26eb-4058-93a8-13c875896e76
1039,987,2021-03-04,2022-08-01,2020-06-26,Local Courier,
1040,1724,2021-07-17,2020-05-15,,FedEx,d1c14383-f3ef-4abf-8910-c373e959f302
1041,860,2023-08-27,2020-01-08,2022-01-13,Local Courier,142a9871-6150-407c-b0e3-2acc26fade48
1042,2869,2023-03-07,2021-01-27,2022-03-07,Local Courier,02f5e62f-1fe2-4821-bd8a-49b0c5bf93bc
1043,1544,2020-09-29,2023-09-29,2023-09-21,USPS,
1044,774,2023-11-04,2022-07-31,2020-10-05,UPS,ea1459cf-2d39-48db-90aa-e0888a692f5e
1045,155,2023-10-21,2021-12-15,,USPS,d0c57bbd-f0e0-442f-8679-23c2bb413460
1046,1298,2022-09-24,2021-04-23,2020-09-20,FedEx,27278d5b-8363-4792-a8ff-7f8f40b86ca1
1047,971,2021-03-13,2021-07-19,2021-01-08,USPS,
1048,2568,2020-10-06,2023-08-17,,DHL,
1049,2383,2023-08-16,2022-08-02,2020-08-26,DHL,
1050,2343,2023-01-16,2020-01-10,2022-02-13,USPS,
1051,2224,2020-05-15,2022-08-03,2020-02-18,FedEx,
1052,774,2021-06-10,2021-08-17,2021-03-30,Local Courier,4e7897f9-ed12-4c21-97e9-2620fb7182c6
1053,1994,2023-10-19,2021-12-01,2021-08-09,DHL,089f7f4f-a82b-4561-b2b7-ab57711dc2b8
1054,1105,2021-10-24,2022-10-23,,FedEx,
1055,383,2020-08-11,2021-10-04,2022-05-15,DHL,dd1435f1-2f43-488b-b51d-afb6ab8afa46
1056,3056,2021-04-30,2023-02-18,,USPS,b67de457-94b9-48d4-9523-44738b735088
1057,2715,2022-04-27,2022-01-10,,DHL,99d4b491-13d9-440d-a2d9-a32feb3df7eb
1058,771,2022-01-18,2023-02-20,2020-11-17,USPS,65610d66-1ebb-4f2f-9fdc-2cdf5493dd0e
1059,1653,2021-12-25,2022-09-12,,FedEx,61bf9b68-b4b7-4df8-987a-98104b90d38d
1060,657,2021-03-06,2020-03-01,2021-04-28,UPS,
1061,2750,2020-03-30,2022-06-26,2021-01-16,USPS,a6fc8365-52eb-4e21-9494-583084f051aa
1062,1363,2023-02-14,2022-01-03,,USPS,
1063,850,2021-05-27,2021-08-18,2021-10-27,UPS,46606ab1-acf5-4f46-a947-8f79bb8fcfb3
1064,2521,2021-11-25,2021-12-15,2022-05-12,UPS,3b07dec2-26ce-44b2-8c8a-3114c47aac9c
1065,1298,2023-08-16,2022-10-21,,DHL,5cbc3ec7-ec6a-414f-b916-39c8cdb0d28d
1066,2137,2023-08-19,2023-02-26,2023-11-07,UPS,d0194949-e7a2-4ba4-ae03-f15a865c548e
1067,1552,2023-09-02,2022-01-04,2023-11-04,Local Courier,
1068,1817,2021-06-04,2022-07-03,,DHL,1580827b-fcd1-4d4c-a4cf-065463e64994
1069,2382,2021-02-25,2020-02-22,,DHL,
1070,720,2021-06-23,2020-11-24,,UPS,bc164831-dc72-4c48-98de-9a466fa882e7
1071,2325,2023-06-01,2023-11-08,2020-02-06,UPS,b64fcb47-d057-465e-a91a-8d3a3148ad7f
1072,565,2023-01-24,2023-02-28,,Local Courier,
1073,151,2020-10-02,2022-02-11,,DHL,b4cfb3de-7c6c-4a1c-bd80-980c3faaec8a
1074,636,2022-11-05,2023-11-13,2022-05-18,Local Courier,117387cc-34e7-49eb-b641-b580c4011257
1075,2192,2023-07-29,2022-12-27,2020-03-11,UPS,ccb76c30-ef06-486b-b3c6-629aaf92b15f
1076,366,2020-03-28,2021-10-26,,USPS,6c6a77f1-f7f2-473c-860a-40a96d255dcf
1077,2588,2021-09-17,2021-01-04,2021-11-09,USPS,aef3f772-59d3-4ea3-8297-b363944ee9a8
1078,384,2021-08-10,2023-03-17,2021-03-29,FedEx,
1079,2692,2020-04-11,2022-02-26,,FedEx,f233f8d9-8d5f-4246-a87e-cbfc4d3624f0
1080,1042,2021-12-09,2023-03-04,,Local Courier,a4079874-5ce2-426a-b346-4adb71737a53
1081,1100,2021-01-19,2020-04-07,,USPS,dec28f2d-699d-4767-9517-99f93ab14834
1082,85,2023-01-09,2022-04-09,,USPS,09f6a9f7-edda-4c71-a3de-325fa37bce27
1083,1200,2021-06-30,2020-03-28,2022-11-15,USPS,
1084,1972,2023-05-29,2022-09-12,,Local Courier,683d0029-01ee-440e-82bd-4dd76553431a
