returnid,orderid,productid,returndate,returnreason,refundamount
591,806,3092,2022-07-16,Damaged,565.77
592,1870,2028,2021-02-05,Other,225.34
593,294,574,2023-06-15,Other,99.42
594,149,714,2023-01-08,Damaged,180.79
595,153,743,2021-11-23,Damaged,453.30
596,1854,517,2022-10-10,Other,448.98
597,1148,2643,2020-10-05,Other,737.74
598,299,1328,2022-05-01,Other,292.15
599,1394,2869,2023-10-12,Damaged,717.88
600,2901,1084,2020-12-04,Other,811.90
601,1392,2124,2021-07-19,Other,964.96
602,2942,2832,2023-06-17,Wrong Item,718.65
603,2523,145,2023-07-15,Wrong Item,164.88
604,1760,2197,2020-06-19,Damaged,86.17
605,1848,194,2023-12-16,Wrong Item,396.87
606,2367,793,2023-05-18,Wrong Item,276.52
607,725,2737,2020-02-06,Wrong Item,554.66
608,515,1126,2023-03-19,Damaged,112.65
609,406,870,2023-04-24,Other,404.28
610,1841,188,2021-02-13,Wrong Item,947.60
611,30,307,2020-10-25,Other,91.41
612,2092,820,2021-06-13,Damaged,628.30
613,1750,2127,2023-10-14,Damaged,970.91
614,2579,1427,2023-04-08,Wrong Item,144.57
615,1557,2008,2020-09-09,Damaged,69.11
616,1444,1911,2022-08-08,Wrong Item,403.54
617,485,2296,2020-05-23,Wrong Item,515.79
618,891,1848,2022-06-27,Wrong Item,692.71
619,2055,589,2020-02-23,Damaged,128.19
620,590,1341,2020-06-06,Not as Described,442.61
621,2594,2904,2020-01-10,Other,124.04
622,2347,1865,2020-11-19,Other,60.82
623,521,993,2021-03-08,Not as Described,57.21
624,2088,2912,2021-09-06,Damaged,865.01
625,143,1496,2020-11-03,Damaged,848.76
626,2831,2099,2020-08-30,Damaged,887.51
627,2636,574,2020-09-30,Other,808.01
628,838,2687,2021-11-14,Wrong Item,377.56
629,843,1006,2021-12-19,Damaged,732.68
630,2335,979,2020-03-11,Other,944.52
631,524,94,2021-11-22,Wrong Item,929.27
632,1440,1340,2021-02-02,Wrong Item,234.55
633,904,2963,2022-11-01,Other,403.04
634,2805,1370,2022-06-09,Wrong Item,991.61
635,2887,1622,2023-04-05,Other,307.33
636,1134,297,2021-02-05,Damaged,415.82
637,2796,2140,2020-07-10,Wrong Item,212.07
638,2539,1016,2023-04-08,Wrong Item,462.31
639,2988,929,2023-11-21,Other,366.24
640,1449,562,2020-05-15,Wrong Item,289.39
641,2442,1524,2023-10-17,Wrong Item,657.25
642,2450,2165,2021-02-11,Not as Described,151.25
643,2718,1509,2023-04-04,Other,281.18
644,988,933,2023-08-13,Other,551.82
645,834,1429,2023-11-09,Not as Described,362.23
646,635,2546,2022-03-04,Wrong Item,302.33
647,718,2155,2023-02-09,Damaged,980.75
648,3027,1554,2021-04-16,Wrong Item,827.35
649,1163,1237,2023-08-26,Damaged,388.22
650,1820,301,2021-08-13,Damaged,919.49
651,12,2105,2021-01-06,Wrong Item,93.09
652,1290,769,2023-09-19,Other,749.49
653,1304,2395,2021-09-20,Damaged,975.95
654,123,554,2020-07-08,Wrong Item,755.37
655,1493,2086,2022-05-31,Other,372.20
656,2494,1123,2022-01-30,Damaged,646.41
657,576,802,2023-03-09,Damaged,364.49
658,312,1192,2022-06-09,Other,578.37
659,2016,2516,2021-03-01,Not as Described,665.80
660,140,433,2023-04-02,Not as Described,995.83
661,1370,476,2020-01-06,Other,557.51
662,181,1505,2022-04-01,Damaged,816.71
663,91,1532,2020-05-05,Wrong Item,785.79
664,2430,581,2021-01-02,Wrong Item,297.79
665,1528,955,2023-09-07,Wrong Item,801.97
666,1860,109,2023-08-10,Damaged,716.31
667,1435,1680,2021-11-24,Damaged,425.36
668,1917,1572,2022-01-05,Other,526.91
669,1923,358,2020-07-16,Damaged,427.79
670,2833,1808,2021-04-13,Wrong Item,512.40
671,1152,2851,2022-03-19,Not as Described,290.70
672,2313,71,2023-12-22,Other,40.15
673,353,2540,2021-07-01,Damaged,482.65
674,1350,1755,2022-07-09,Damaged,262.41
675,1381,1970,2020-12-10,Damaged,147.10
676,2513,1995,2023-02-03,Damaged,515.31
677,274,2332,2022-06-05,Wrong Item,386.42
678,735,2847,2023-05-17,Wrong Item,612.82
679,1315,1363,2022-04-05,Other,756.50
680,1986,1777,2020-04-01,Damaged,873.25
681,1824,894,2021-01-21,Not as Described,47.81
682,3,1867,2022-01-30,Other,54.87
683,2238,1744,2021-06-29,Damaged,295.03
684,578,3100,2023-02-20,Other,849.02
685,393,1129,2022-06-24,Damaged,689.52
686,2752,966,2021-11-25,Damaged,996.50
687,1857,3018,2022-09-10,Damaged,999.31
688,1896,2713,2021-05-03,Not as Described,907.03
689,1394,2869,2021-05-03,Wrong Item,526.06
690,1674,2514,2022-09-23,Damaged,612.02
691,2974,1298,2020-03-12,Not as Described,180.48
692,769,1253,2023-11-27,Wrong Item,169.30
693,3077,2430,2023-11-02,Damaged,938.33
694,2422,2817,2020-07-15,Other,169.41
695,2807,1039,2021-04-16,Other,446.72
696,903,1613,2022-10-26,Damaged,488.41
697,2407,1991,2023-03-17,Damaged,340.12
698,526,1746,2023-04-14,Not as Described,970.13
699,1375,2691,2020-08-27,Damaged,239.92
700,1688,51,2020-05-11,Wrong Item,766.69
701,2146,1810,2023-08-13,Wrong Item,548.36
702,2836,1646,2020-06-18,Damaged,731.04
703,298,844,2022-08-18,Not as Described,932.05
704,3045,2189,2020-05-14,Other,328.77
705,2477,200,2023-09-30,Damaged,845.96
706,2493,2733,2023-12-11,Damaged,351.43
707,568,2790,2022-09-07,Wrong Item,452.90
708,1527,2921,2023-12-10,Other,88.03
709,2327,166,2023-12-26,Damaged,871.70
710,1143,1562,2020-12-13,Other,828.25
711,286,2784,2023-01-04,Wrong Item,617.15
712,1196,874,2022-07-29,Other,229.36
713,1719,2618,2023-04-24,Not as Described,987.83
714,1388,232,2021-06-06,Not as Described,986.29
715,495,786,2020-12-10,Other,272.55
716,1898,156,2022-04-02,Not as Described,135.45
717,1290,769,2021-02-11,Wrong Item,183.74
718,542,2910,2022-02-22,Wrong Item,95.32
719,1171,1862,2020-04-17,Wrong Item,66.05
720,1079,3004,2022-06-03,Damaged,669.80
721,1099,2980,2023-01-12,Other,781.36
722,2046,1724,2020-05-31,Other,157.83
723,1762,2639,2021-01-08,Not as Described,634.10
724,427,2530,2022-06-11,Other,468.41
725,2670,966,2020-10-01,Damaged,396.90
726,1171,1728,2020-07-07,Wrong Item,966.67
727,966,1796,2021-08-13,Damaged,383.59
728,2808,1196,2020-03-06,Other,417.45
729,838,1108,2023-11-04,Wrong Item,756.34
730,998,2263,2020-04-21,Other,247.39
731,761,1253,2020-06-25,Other,577.02
732,2795,1551,2021-09-15,Not as Described,437.99
733,1979,2036,2023-02-08,Other,110.79
734,3018,2164,2021-11-16,Not as Described,514.31
735,1927,317,2023-12-02,Wrong Item,407.65
736,1258,2694,2022-05-06,Other,229.07
737,464,824,2021-05-30,Not as Described,545.78
738,772,720,2021-06-30,Damaged,804.67
739,1732,189,2022-07-25,Wrong Item,718.25
740,149,714,2022-04-16,Wrong Item,888.51
741,1410,540,2023-06-18,Wrong Item,906.72
742,514,2075,2022-09-30,Not as Described,504.49
743,1446,2504,2023-12-10,Not as Described,134.30
744,1497,2231,2023-11-02,Wrong Item,629.49
745,118,2239,2021-01-24,Wrong Item,945.56
746,2068,1441,2023-08-06,Wrong Item,707.47
747,258,1401,2020-03-18,Not as Described,237.11
748,2986,1665,2021-03-02,Wrong Item,735.60
749,1311,2521,2021-09-17,Damaged,192.57
750,929,1543,2022-12-02,Other,241.88
751,1870,1271,2021-06-12,Not as Described,249.60
752,2375,161,2020-09-17,Damaged,335.73
753,1427,1136,2023-01-05,Wrong Item,98.41
754,3067,717,2020-08-26,Not as Described,486.21
755,1626,1817,2023-02-03,Wrong Item,914.53
756,406,870,2020-12-27,Wrong Item,822.77
757,955,1919,2022-06-08,Not as Described,971.19
758,1491,1765,2022-07-04,Damaged,32.86
759,3098,313,2023-07-12,Wrong Item,343.22
760,1171,3080,2023-06-05,Damaged,246.24
761,2013,1157,2021-09-08,Not as Described,807.80
762,2713,2013,2021-03-25,Not as Described,549.26
763,1381,1970,2021-04-05,Wrong Item,462.59
764,2366,2144,2022-10-30,Wrong Item,279.29
765,134,2691,2023-03-13,Not as Described,403.22
766,768,1148,2023-07-24,Damaged,216.70
767,2410,864,2022-03-10,Wrong Item,790.51
768,130,1615,2023-12-16,Wrong Item,602.33
769,1926,1505,2023-10-09,Wrong Item,734.82
770,3097,1038,2023-09-29,Damaged,850.98
771,148,1844,2023-11-02,Wrong Item,192.64
772,879,2494,2020-11-10,Other,556.10
773,2878,358,2022-03-21,Other,986.49
774,1385,1031,2021-02-11,Wrong Item,250.69
775,384,597,2022-07-26,Damaged,501.96
776,536,1198,2022-03-17,Damaged,883.66
777,170,979,2023-10-17,Damaged,710.18
778,3045,1955,2020-04-27,Not as Described,980.83
779,2497,1003,2022-10-21,Other,915.29
780,1159,2001,2023-06-25,Other,317.81
781,3067,1861,2021-01-09,Wrong Item,53.44
782,1439,2214,2021-11-13,Not as Described,846.50
783,1549,996,2021-06-28,Not as Described,34.97
784,1570,2722,2022-08-20,Wrong Item,727.01
785,2477,2053,2021-03-23,Damaged,245.46
786,511,1181,2021-04-09,Damaged,261.17
787,2524,73,2020-08-21,Damaged,110.61
788,2235,1408,2022-06-21,Other,233.34
789,2635,2530,2021-11-28,Damaged,179.94
790,1094,2202,2021-01-03,Damaged,568.37
791,2077,346,2020-04-03,Other,387.36
792,2210,640,2023-12-14,Other,10.14
793,2222,1559,2022-11-18,Damaged,725.58
794,546,2444,2022-12-14,Not as Described,504.36
795,1043,2094,2022-04-06,Other,19.61
796,364,301,2021-10-02,Other,756.71
797,294,574,2021-03-15,Not as Described,213.21
798,2787,1979,2021-09-20,Wrong Item,610.83
799,401,2852,2022-12-31,Not as Described,337.46
800,2513,2156,2022-01-13,Not as Described,814.92
801,2341,1519,2021-05-24,Not as Described,73.09
802,1886,1603,2022-07-17,Not as Described,728.76
803,965,473,2020-07-15,Damaged,395.29
804,2364,2264,2020-06-05,Wrong Item,122.49
805,2385,3099,2020-01-15,Not as Described,988.26
806,1909,2416,2022-08-11,Damaged,875.74
807,644,1717,2023-11-28,Wrong Item,78.39
808,2439,1409,2022-10-24,Not as Described,623.69
809,310,1490,2023-01-21,Wrong Item,529.59
810,2676,319,2020-12-06,Wrong Item,669.58
811,2055,469,2022-11-17,Other,946.78
812,2516,2177,2022-10-29,Not as Described,506.02
813,458,1308,2021-11-30,Other,274.19
814,2822,398,2022-06-19,Other,521.84
815,2205,1742,2022-11-26,Other,649.23
816,2378,571,2020-03-16,Wrong Item,696.92
817,2135,1131,2022-02-24,Damaged,814.71
818,2918,2030,2021-09-12,Not as Described,910.23
819,2270,1541,2021-04-26,Damaged,427.40
820,1498,1401,2021-03-20,Damaged,834.13
821,1427,1136,2021-10-12,Damaged,893.34
822,2955,1820,2023-04-13,Other,428.61
823,2378,2914,2023-02-06,Damaged,184.40
824,1686,1015,2022-10-19,Damaged,513.94
825,602,1579,2023-02-15,Not as Described,354.43
826,710,1,2022-12-13,Wrong Item,932.41
827,1854,517,2020-04-24,Other,257.23
828,2702,986,2021-03-10,Not as Described,186.24
829,2354,3082,2023-11-15,Wrong Item,805.85
830,2933,2018,2021-11-25,Wrong Item,945.43
831,392,2890,2023-12-17,Wrong Item,369.04
832,2955,776,2023-05-12,Not as Described,282.41
833,1606,2763,2022-06-20,Not as Described,788.10
834,921,2627,2022-03-23,Wrong Item,710.05
835,1322,607,2023-10-28,Other,812.44
836,2812,839,2023-08-22,Other,625.98
837,129,1092,2023-11-24,Other,439.97
838,2695,1839,2021-06-26,Wrong Item,339.10
839,2176,1164,2023-11-27,Damaged,498.70
840,2789,2685,2021-10-31,Not as Described,464.18
841,428,1813,2023-04-11,Other,53.00
842,2069,2847,2023-01-08,Damaged,594.82
843,1451,175,2022-11-05,Damaged,257.15
844,2782,3007,2021-08-26,Wrong Item,783.06
845,1320,1872,2020-06-19,Wrong Item,815.94
846,1283,195,2022-12-03,Other,483.66
847,384,597,2022-07-26,Damaged,671.23
848,1113,2747,2021-09-29,Damaged,181.53
849,37,1112,2022-01-05,Other,556.31
850,613,1806,2023-08-20,Wrong Item,277.80
851,679,625,2020-11-16,Other,926.26
852,2605,1546,2023-09-26,Other,41.11
853,870,1929,2022-08-04,Other,322.60
854,1385,1031,2023-08-23,Not as Described,895.87
855,2127,779,2022-11-08,Wrong Item,481.82
856,1839,1142,2023-07-16,Not as Described,848.71
857,2728,457,2023-09-16,Damaged,93.50
858,91,1334,2021-03-10,Not as Described,468.84
859,1268,1983,2022-07-17,Wrong Item,847.80
860,2720,2871,2023-09-16,Damaged,575.00
861,120,597,2022-03-25,Not as Described,100.12
862,1528,2185,2022-10-25,Other,791.80
863,2595,2668,2023-08-09,Damaged,971.75
864,955,1919,2022-07-03,Other,731.23
865,1808,280,2020-12-23,Damaged,611.71
866,2261,2755,2020-12-17,Wrong Item,934.41
867,2664,1995,2020-01-28,Not as Described,341.18
868,300,233,2023-03-20,Wrong Item,196.73
869,2699,825,2023-10-18,Not as Described,775.83
870,299,1328,2022-11-20,Damaged,888.47
871,2608,297,2021-02-08,Not as Described,761.94
872,2910,520,2023-10-07,Not as Described,735.27
873,2355,2187,2020-02-08,Not as Described,275.25
874,2656,1013,2023-05-02,Damaged,77.27
875,1916,2280,2021-04-29,Wrong Item,89.53
876,2031,1102,2021-10-15,Damaged,360.15
877,1408,2591,2021-12-26,Damaged,734.70
878,910,468,2020-01-14,Other,159.04
879,1005,3079,2023-09-09,Wrong Item,353.35
880,1443,1455,2022-04-12,Other,395.32
881,644,1717,2020-07-22,Not as Described,289.07
882,2776,1787,2022-03-09,Other,866.42
883,904,2963,2022-09-23,Damaged,454.23
884,1855,915,2022-09-03,Damaged,875.81
885,2753,2429,2023-01-06,Not as Described,962.17
886,1607,2026,2020-10-06,Wrong Item,927.17
887,500,1032,2022-11-16,Wrong Item,364.44
888,1415,3070,2021-04-01,Damaged,545.21
889,3068,2012,2021-12-08,Other,632.82
890,2774,329,2021-10-29,Damaged,790.53
891,1258,2754,2022-06-30,Damaged,917.98
892,1193,207,2023-09-26,Wrong Item,106.88
893,1644,1762,2020-04-18,Damaged,511.44
894,2118,2403,2020-05-04,Other,269.67
895,671,402,2020-03-16,Not as Described,350.21
896,1326,1998,2023-03-21,Wrong Item,364.65
897,1965,3000,2023-12-26,Wrong Item,627.18
898,2708,750,2021-11-13,Not as Described,787.81
899,1425,2039,2020-07-21,Other,17.08
900,1528,2185,2021-01-16,Other,246.61
901,1738,2769,2021-12-18,Not as Described,952.40
902,2668,2968,2021-06-15,Not as Described,671.86
903,2528,1400,2022-05-08,Wrong Item,509.43
904,798,2295,2022-12-05,Not as Described,519.10
905,3011,1105,2022-08-11,Wrong Item,215.18
906,2742,77,2023-07-23,Other,105.19
907,2703,1270,2022-12-28,Wrong Item,939.17
908,1477,1834,2022-08-09,Not as Described,621.78
909,2560,102,2020-09-28,Damaged,397.00
910,2696,542,2022-11-09,Not as Described,898.37
911,2076,744,2020-04-13,Damaged,698.45
912,1340,2840,2020-08-19,Wrong Item,626.80
913,2695,1839,2021-05-13,Damaged,273.09
914,2330,1574,2022-01-06,Other,769.96
915,2789,1457,2022-05-16,Other,738.97
916,498,594,2021-04-15,Other,776.87
917,377,2120,2020-10-24,Other,402.24
918,2725,952,2021-01-26,Not as Described,885.46
919,2362,1264,2022-06-28,Not as Described,130.35
920,1434,1903,2020-02-05,Not as Described,806.06
921,131,1,2021-06-29,Other,734.27
922,1079,1121,2022-01-09,Wrong Item,187.69
923,2947,1245,2021-06-09,Damaged,932.14
924,1588,1113,2020-02-11,Not as Described,55.25
925,321,213,2021-07-13,Damaged,280.90
926,2375,2856,2021-01-30,Damaged,382.48
927,2042,625,2022-05-04,Other,509.21
928,2132,1537,2020-02-05,Other,892.56
929,692,2244,2020-07-26,Damaged,288.88
930,409,2039,2023-09-29,Damaged,15.96
931,1985,1904,2020-02-23,Other,380.07
932,1024,2292,2023-10-22,Not as Described,641.39
933,1380,2004,2023-05-14,Other,750.91
934,2664,1995,2022-01-25,Wrong Item,402.70
935,153,1793,2023-08-20,Other,938.27
936,1315,1363,2020-09-17,Damaged,276.79
937,454,1717,2020-10-27,Other,334.86
938,340,1718,2022-05-08,Wrong Item,36.28
939,2031,2848,2021-09-16,Damaged,324.41
940,731,1693,2023-08-29,Not as Described,657.80
941,2728,457,2020-01-22,Other,183.85
942,1159,2001,2020-09-15,Damaged,209.16
943,1370,2599,2023-11-16,Other,414.73
944,2839,1174,2023-07-12,Other,99.68
945,2131,737,2022-10-05,Damaged,205.39
946,2638,634,2023-03-14,Not as Described,887.93
947,944,310,2023-07-17,Not as Described,397.61
948,2821,2815,2021-02-05,Other,503.20
949,590,1341,2022-05-25,Other,524.49
950,2638,634,2021-08-05,Wrong Item,490.61
951,330,3014,2022-01-18,Not as Described,79.04
952,2313,71,2020-01-20,Damaged,201.25
953,2793,1193,2023-07-28,Not as Described,916.70
954,2719,2421,2020-06-15,Not as Described,323.93
955,1041,1961,2023-04-24,Damaged,958.74
956,2365,2200,2022-12-25,Damaged,748.00
957,928,2911,2020-10-03,Other,173.43
958,1273,1181,2020-04-29,Other,897.03
959,816,2348,2020-06-15,Damaged,324.89
960,1936,842,2023-08-31,Wrong Item,201.44
961,2784,149,2022-06-21,Damaged,622.22
962,1284,2425,2022-02-27,Wrong Item,804.30
963,120,597,2023-05-05,Other,491.07
964,535,2909,2020-08-17,Damaged,609.84
965,2814,934,2020-11-09,Wrong Item,23.45
966,22,655,2023-12-14,Other,848.11
967,2792,1978,2022-12-19,Wrong Item,810.36
968,2618,2607,2022-08-14,Not as Described,165.71
969,2498,429,2023-12-25,Damaged,461.70
970,1994,1677,2020-02-28,Wrong Item,856.79
971,1469,94,2020-12-31,Wrong Item,857.53
972,1076,20,2023-04-26,Damaged,502.58
973,1684,2069,2022-12-24,Other,668.15
974,2437,2006,2023-11-29,Other,733.65
975,2434,283,2020-05-19,Wrong Item,995.51
976,2078,180,2021-06-17,Wrong Item,795.85
977,1849,2392,2022-12-05,Not as Described,285.71
978,2437,422,2021-09-11,Damaged,897.77
979,2574,313,2022-08-19,Other,714.60
980,1284,1061,2021-03-02,Not as Described,688.71
981,217,245,2020-06-10,Damaged,464.85
982,2619,1261,2022-08-09,Not as Described,841.40
983,116,2504,2023-12-06,Wrong Item,470.09
984,282,1729,2021-10-22,Not as Described,262.75
985,2011,2909,2020-09-23,Not as Described,391.04
986,2939,531,2020-10-16,Not as Described,842.68
987,2654,2006,2023-07-25,Wrong Item,890.01
988,1300,2254,2022-04-23,Damaged,603.60
989,1848,921,2023-06-14,Other,117.62
990,2040,2249,2021-06-13,Wrong Item,83.11
991,534,2406,2023-08-27,Damaged,840.07
992,2169,353,2020-06-16,Other,316.46
993,2184,413,2020-04-18,Not as Described,654.27
994,1741,514,2021-09-06,Not as Described,264.09
995,1854,113,2020-11-27,Damaged,818.84
996,2213,895,2023-04-09,Other,328.42
997,1795,2816,2022-11-08,Not as Described,622.68
998,2736,724,2020-01-02,Wrong Item,580.73
999,717,1878,2021-07-18,Other,20.27
1000,849,435,2021-10-28,Other,310.43
1001,761,1137,2021-12-02,Other,448.32
1002,1410,540,2023-01-14,Wrong Item,554.85
1003,1369,2221,2023-08-21,Wrong Item,683.55
1004,413,2431,2022-12-30,Other,260.11
1005,838,2803,2022-06-18,Not as Described,669.14
1006,1050,1985,2020-05-07,Not as Described,219.52
1007,1395,2715,2023-09-30,Not as Described,962.14
1008,2888,1479,2022-11-06,Wrong Item,487.08
1009,368,2227,2021-05-06,Other,40.20
1010,2007,853,2021-02-10,Wrong Item,540.15
1011,2032,2674,2023-02-10,Other,308.28
1012,2468,3028,2023-11-09,Not as Described,375.26
1013,1200,486,2021-10-10,Other,870.38
1014,1024,2292,2022-09-02,Wrong Item,780.17
1015,2059,1576,2020-06-28,Wrong Item,171.09
1016,138,2696,2023-06-17,Not as Described,29.23
1017,1196,874,2020-08-01,Damaged,583.02
1018,2549,2361,2020-08-09,Damaged,244.74
1019,2241,3053,2020-06-27,Wrong Item,633.60
1020,2433,455,2021-01-09,Not as Described,744.78
1021,2418,951,2022-09-12,Damaged,744.24
1022,1808,708,2022-10-16,Not as Described,453.56
1023,1427,1136,2020-10-31,Damaged,545.05
1024,483,69,2023-04-30,Other,365.84
1025,2770,550,2022-10-27,Damaged,913.53
1026,2548,430,2022-09-12,Wrong Item,829.16
1027,2151,911,2023-01-19,Other,252.67
1028,2294,1937,2021-04-08,Damaged,664.23
1029,616,2729,2023-12-02,Other,722.63
1030,10,1073,2020-09-01,Other,998.64
1031,1952,480,2021-06-08,Wrong Item,81.30
1032,364,301,2020-04-17,Damaged,919.85
1033,2809,699,2020-02-06,Other,73.78
1034,2594,139,2021-11-08,Damaged,976.06
1035,1388,232,2022-09-27,Other,31.61
1036,439,2016,2022-10-14,Other,378.28
1037,222,761,2021-09-03,Damaged,726.74
1038,2150,1744,2020-06-20,Other,908.02
1039,1019,2956,2022-01-15,Damaged,114.09
1040,2743,1046,2020-05-16,Other,182.19
1041,2341,1519,2023-07-21,Other,72.45
1042,2609,1995,2023-06-21,Other,290.25
1043,1687,384,2020-10-25,Damaged,199.14
1044,2560,102,2021-02-08,Other,873.19
1045,2214,254,2020-11-07,Not as Described,114.58
1046,315,1934,2021-04-03,Not as Described,157.63
1047,468,1312,2021-02-15,Wrong Item,854.35
1048,2633,2600,2020-10-10,Other,316.15
1049,2633,2600,2023-12-02,Damaged,867.00
1050,2994,2897,2023-09-17,Wrong Item,565.99
1051,3029,1714,2020-11-06,Other,385.69
1052,770,2224,2020-04-27,Other,696.79
1053,719,2782,2020-03-27,Wrong Item,227.58
1054,1986,2993,2021-11-24,Other,241.90
1055,286,2784,2022-12-20,Other,655.14
1056,2792,2448,2020-01-18,Other,254.68
1057,2593,2182,2023-11-22,Damaged,55.46
1058,1766,1227,2022-08-08,Not as Described,430.75
1059,2497,1003,2020-03-04,Wrong Item,759.26
1060,2660,1899,2021-12-01,Wrong Item,714.11
1061,388,2005,2022-11-11,Wrong Item,315.58
1062,1590,1375,2023-07-18,Wrong Item,488.86
1063,2031,2848,2023-06-19,Other,42.78
1064,2880,2697,2021-02-26,Other,241.82
1065,1144,2830,2021-08-19,Damaged,222.43
1066,2480,1776,2022-07-17,Other,192.04
1067,2912,1446,2023-09-27,Damaged,25.74
1068,2391,1320,2023-05-01,Wrong Item,665.32
1069,91,1228,2021-12-31,Damaged,968.68
1070,593,1048,2022-03-08,Other,253.22
1071,820,2134,2022-12-07,Other,568.45
1072,592,2450,2021-12-11,Wrong Item,850.37
1073,2245,2439,2023-03-13,Not as Described,976.99
1074,2007,853,2022-10-05,Other,133.85
1075,274,2074,2021-02-25,Other,579.40
1076,884,1387,2020-12-17,Wrong Item,565.47
1077,2318,2101,2020-11-05,Not as Described,524.99
1078,1669,1687,2021-12-23,Wrong Item,949.95
1079,1099,2980,2021-12-24,Damaged,120.20
1080,1161,1846,2023-01-27,Wrong Item,879.97
1081,2342,1794,2023-01-30,Wrong Item,251.39
1082,1279,2211,2021-01-12,Other,498.64
1083,123,554,2020-09-18,Not as Described,635.79
1084,156,608,2023-06-09,Not as Described,338.72
1085,1551,351,2022-08-15,Not as Described,177.42
1086,213,2019,2023-08-14,Damaged,148.36
1087,663,2039,2023-12-13,Damaged,553.61
1088,593,1048,2021-08-08,Wrong Item,786.12
1089,2220,1318,2023-06-23,Wrong Item,887.24
1090,2238,1744,2020-07-05,Other,769.06
1091,1078,1340,2021-07-13,Wrong Item,995.71
1092,510,2633,2022-04-22,Damaged,266.44
1093,1923,358,2022-02-28,Damaged,999.27
1094,472,2446,2021-10-26,Wrong Item,254.79
1095,3062,456,2022-06-10,Other,478.00
1096,2574,313,2023-11-26,Damaged,206.79
1097,1232,826,2022-01-21,Wrong Item,704.25
1098,1309,2132,2023-08-08,Damaged,761.81
1099,554,2947,2020-12-05,Other,392.01
1100,367,2106,2022-01-09,Not as Described,906.58
1101,1179,389,2021-04-05,Damaged,949.13
1102,601,1551,2023-06-04,Wrong Item,630.98
1103,1928,1169,2022-09-02,Other,305.97
1104,589,572,2021-06-28,Damaged,855.27
1105,1394,2869,2023-07-24,Not as Described,82.63
1106,1074,2966,2023-06-08,Other,103.75
1107,2146,1810,2023-09-25,Wrong Item,83.21
1108,2323,148,2021-04-24,Other,56.00
1109,918,1632,2022-01-12,Damaged,107.68
1110,30,694,2021-07-12,Wrong Item,762.28
1111,2594,139,2022-10-16,Not as Described,887.41
1112,2143,342,2023-12-09,Wrong Item,86.57
1113,168,451,2020-01-27,Wrong Item,628.05
1114,277,196,2021-01-06,Damaged,980.63
1115,2620,578,2021-12-10,Damaged,320.66
1116,1584,490,2021-09-03,Damaged,62.99
1117,2678,143,2021-07-08,Not as Described,264.63
1118,1449,1137,2023-04-01,Damaged,314.52
1119,2888,2924,2021-02-13,Wrong Item,549.13
1120,1717,484,2020-05-01,Not as Described,681.36
1121,1776,402,2022-10-19,Damaged,980.34
1122,1659,1872,2023-05-24,Wrong Item,83.43
1123,91,1228,2021-06-21,Wrong Item,436.10
1124,1207,1484,2022-07-07,Not as Described,586.30
1125,1458,841,2022-02-23,Other,451.50
1126,353,2540,2022-07-13,Other,842.49
1127,718,2652,2022-02-08,Other,97.14
1128,401,2852,2022-07-27,Not as Described,94.48
1129,2778,2322,2021-11-29,Damaged,512.80
1130,842,2300,2020-05-29,Damaged,37.40
1131,1999,2554,2022-03-29,Other,833.53
1132,2835,1361,2020-05-18,Other,973.28
1133,656,348,2023-09-23,Damaged,849.05
1134,3006,2925,2021-08-02,Not as Described,952.97
1135,307,721,2021-12-26,Not as Described,977.95
1136,1916,2280,2023-12-30,Damaged,311.43
1137,218,2701,2020-06-18,Other,927.21
1138,1936,842,2021-03-02,Not as Described,29.51
1139,1430,1185,2023-01-19,Other,549.75
1140,2845,2610,2020-06-01,Wrong Item,167.71
1141,3045,1479,2023-06-08,Damaged,371.50
1142,937,2539,2020-10-21,Wrong Item,865.78
1143,1215,1785,2023-11-15,Damaged,669.92
1144,568,2790,2022-01-12,Wrong Item,194.34
1145,2594,2904,2022-11-11,Other,457.26
1146,476,3029,2022-04-29,Damaged,936.90
1147,800,1365,2022-03-13,Damaged,427.40
1148,2463,1143,2022-05-08,Other,101.95
1149,1130,1309,2020-02-24,Not as Described,29.22
1150,692,2244,2020-02-02,Not as Described,430.92
1151,1802,2565,2021-07-08,Other,906.82
1152,1798,1252,2020-06-24,Not as Described,197.64
1153,2385,1590,2023-09-17,Wrong Item,735.45
1154,789,868,2021-07-10,Wrong Item,248.47
1155,1739,2514,2021-05-29,Damaged,319.48
1156,735,919,2022-06-18,Not as Described,105.49
1157,2654,2667,2022-07-25,Not as Described,798.28
1158,1588,1051,2022-09-04,Wrong Item,260.66
1159,2484,1299,2021-06-05,Damaged,786.27
1160,194,686,2023-02-02,Other,619.21
1161,511,3030,2023-09-11,Damaged,980.50
1162,1076,20,2022-07-30,Other,718.06
1163,495,285,2020-05-05,Wrong Item,328.25
1164,2644,2177,2020-04-29,Not as Described,400.96
1165,660,61,2021-03-08,Wrong Item,881.93
1166,1793,1782,2022-05-03,Other,223.78
1167,1357,1070,2022-11-18,Wrong Item,57.18
1168,192,2687,2020-08-06,Damaged,229.10
1169,2361,1825,2022-02-25,Damaged,761.13
1170,2637,2504,2022-07-22,Other,74.42
1171,2395,396,2022-06-11,Not as Described,118.71
1172,739,920,2023-08-10,Damaged,188.54
1173,2354,3082,2023-12-06,Wrong Item,706.80
1174,887,1153,2020-07-13,Wrong Item,188.25
1175,1408,535,2022-09-03,Wrong Item,766.89
